06 de janeiro de 2010 - 17h51	Dinamarca solta ativistas do Greenpeace presos desde a COP-15	SUSTENTABILIDADE	Não tem imagem	Dinamarca solta ativistas do Greenpeace presos desde a COP-15 A Justiça dinamarquesa ordenou nesta quarta-feira a libertação de quatro ativistas do Greenpeace detidos no último dia 17 em Copenhague durante a cúpula da ONU sobre mudanças climáticas (COP-15).   O quarteto foi recebido com aplausos ao deixar a prisão em Copenhague por cerca de 30 membros	https://sustentabilidade.estadao.com.br/noticias/geral,dinamarca-solta-ativistas-do-greenpeace-presos-desde-a-cop-15,491596
06 de janeiro de 2010 - 12h25	Governos estão pressionados a atuar no clima, diz Greenpeace	SUSTENTABILIDADE	https://busca.estadao.com.br/fotos/greenpeace_naidoo.jpg	Governos estão pressionados a atuar no clima, diz Greenpeace O diretor-executivo do Greenpeace Internacional, sul-africano Kumi Naidoo, disse nesta quarta-feira, 6, que "nunca os governo se viram tão pressionados a atuar" na questão da mudança climática.   Veja também: Ativista do Greenpeace acusa governo dinamarquês Greenpeace acusa Lula de duplicidade	https://sustentabilidade.estadao.com.br/noticias/geral,governos-estao-pressionados-a-atuar-no-clima-diz-greenpeace,491426
06 de janeiro de 2010 - 12h06	Greenpeace: governos nunca foram tão pressionados a agir	SUSTENTABILIDADE	Não tem imagem	Greenpeace: governos nunca foram tão pressionados a agir  15 anos, afirma que pode "sentir um interesse entre as pessoas jovens para a luta contra as mudanças climáticas que não viu nos últimos dez anos". Por conseguinte, prevê que "haverá consequências eleitorais para líderes que não demonstrarem progresso e ambição" para resolver aquecimento global	https://sustentabilidade.estadao.com.br/noticias/geral,greenpeace-governos-nunca-foram-tao-pressionados-a-agir,491419
06 de janeiro de 2010 - 08h50	Novos temporais podem atingir sul e sudeste nesta quarta	SÃO PAULO	Não tem imagem	Novos temporais podem atingir sul e sudeste nesta quarta Esta quarta-feira, 6, será com chuva forte em boa parte do pais, principalmente no Centro-Sul do Brasil, prevê o Centro de Previsão do Tempo e Estudos Climáticos (CPTEC). Estão previstas também para a região da Grande São Paulo fortes chuvas, principalmente no fim de tarde, segundo o Centro	https://sao-paulo.estadao.com.br/noticias/geral,novos-temporais-podem-atingir-sul-e-sudeste-nesta-quarta,491316
06 de janeiro de 2010 - 07h52	Chuva forte atinge hoje centro-sul do Brasil	GERAL	Não tem imagem	Chuva forte atinge hoje centro-sul do Brasil O Centro de Previsão do Tempo e Estudos Climáticos (Cptec) prevê chuva forte em boa parte do País, principalmente no centro-sul. Uma frente fria se deslocará pelo Rio Grande do Sul e vai reforçar as áreas de instabilidade sobre parte da região Sul. O dia será nublado e com pancadas de chuva	https://www.estadao.com.br/noticias/geral,chuva-forte-atinge-hoje-centro-sul-do-brasil,491287
06 de janeiro de 2010 - 07h48	Centro-sul do Brasil terá fortes chuvas nesta quarta	BRASIL	Não tem imagem	Centro-sul do Brasil terá fortes chuvas nesta quarta A quarta-feira, 6, será com chuva forte em boa parte do pais, principalmente no Centro-Sul do Brasil, prevê o Centro de Previsão do Tempo e Estudos Climáticos (CPTEC). Uma frente fria se deslocará pelo Rio Grande do Sul e reforçará as áreas de instabilidade sobre parte da Região Sul. O dia será	https://brasil.estadao.com.br/noticias/geral,centro-sul-do-brasil-tera-fortes-chuvas-nesta-quarta,491286
06 de janeiro de 2010 - 00h00	As armadilhas da política ambiental	OPINIÃO	Não tem imagem	As armadilhas da política ambiental A Conferência de Copenhague - como as anteriores sobre a preservação ambiental e mudanças climáticas - apresentou muitos fracassos e alguns avanços. O mais importante é que a formulação de políticas ambientais se paute pelas dificuldades e pelos compromissos resultantes das peculiaridades	https://www.estadao.com.br/noticias/geral,as-armadilhas-da-politica-ambiental,491188
06 de janeiro de 2010 - 00h00	Ponte cai em cidade gaúcha e há pelo menos 5 desaparecidos	TRAGÉDIA	Não tem imagem	Ponte cai em cidade gaúcha e há pelo menos 5 desaparecidos , mas a informação não foi confirmada posteriormente. A governadora Yeda Crusius sobrevoou a região mais afetada pelas inundações durante a tarde e ficou impressionada.No dia 14, técnicos e gestores gaúchos vão fazer uma reunião sobre as mudanças climáticas e, ao final do dia, deverão apresentar à governadora	https://www.estadao.com.br/noticias/geral,ponte-cai-em-cidade-gaucha-e-ha-pelo-menos-5-desaparecidos,491254
05 de janeiro de 2010 - 19h19	Dilma prorroga recesso até segunda-feira	POLÍTICA	Não tem imagem	Dilma prorroga recesso até segunda-feira na Bahia.       A ministra voltou gripada da viagem que fez à Dinamarca, onde participou da Conferência da Organização das Nações Unidas (ONU) sobre mudanças climáticas, na semana que antecedeu o Natal. Segundo assessores, Dilma teve uma gripe simples e já teria se recuperado.Há possibilidade	https://politica.estadao.com.br/noticias/geral,dilma-prorroga-recesso-ate-segunda-feira,491039
05 de janeiro de 2010 - 17h09	Grandes firmas francesas pagarão taxa de CO2 a partir de julho	SUSTENTABILIDADE	Não tem imagem	Grandes firmas francesas pagarão taxa de CO2 a partir de julho Uma nova lei sobre impostos de carbono que deveria ter entrado em vigor em 1º de janeiro só passará a valer a partir de julho e também atingirá os maiores poluidores franceses, disseram altas autoridades do governo.   Lula define veto a 3 itens da Lei de Mudanças Climáticas   O conselho	https://sustentabilidade.estadao.com.br/noticias/geral,grandes-firmas-francesas-pagarao-taxa-de-co2-a-partir-de-julho,490980
